C:\Python27\python.exe F:/hhly/scrapy/law/law_rule/wenshu_law/test.py
最高人民法院、最高人民检察院关于办理与盗窃、抢劫、诈骗抢夺机动车相关刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
本院认为，被告人唐小平非法贩卖毒品海洛因0.06克，其行为触犯了飞中华人民共和国刑法 >>>>>>>>>>> 1
关于办理网络犯罪案件适用刑事诉讼程序若干问题的意见 >>>>>>>>>>> 1
中国人民共和国道路交通安全法实施条例 >>>>>>>>>>> 1
全国人民代表大会常务委员会关于﹤中华人民共和刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 1
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第三百八十四条第一条款的解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理妨害信用卡管理刑事案件具体应用法律若干问题的解释（法释（2009）第19号） >>>>>>>>>>> 1
湖北省实施﹤中华人民共和国道路交通安全法﹥办法 >>>>>>>>>>> 1
最高人民法院关于适用﹤中华人民共和国刑事诉讼法﹥第一百五十五条第一款、第二款 >>>>>>>>>>> 1
西藏自治区高级人民法院、西藏自治区人民检察院关于我区盗窃罪具体数额执行标准规定 >>>>>>>>>>> 1
全国人民代表大会常务委员关于第九十三条第二款的解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院﹤关于办理行贿案件刑事案件具体应用法律若干问题的解释﹥ >>>>>>>>>>> 1
最高人民法院关于交通肇事罪自首认定标准“交通肇事后保护现场、抢救伤员、向公安机关报告的，符合刑法部总则关于自首的规定，应当认定为自首。但是，道路交通安全法第七十条规定，交通肇事后应当保护现场、抢救伤员、向公安机关报告。犯罪嫌疑人实施的上述行为同时也是履行法定义务的行为，对其是否从宽、从宽的幅度要适当从严掌握的规定” >>>>>>>>>>> 1
国家税务总局关于简化增值税专用发票领用和使用程序有关问题的公告 >>>>>>>>>>> 1
最高法关于审理两抢刑事案件适用法律若干问题的意见 >>>>>>>>>>> 1
担保法 >>>>>>>>>>> 1
中华人民共和国税收征管法实施细则 >>>>>>>>>>> 1
中华人民共和国刑法刑法修正案（八） >>>>>>>>>>> 1
重0.68克）。经成阳市公安局刑事科学技术鉴定：从该毒品可疑物中检出海洛因。本院认为：被告人杨楠违反国家毒品管理法规，贩卖毒品，其行为已触犯（（中华人民共和国刑法 >>>>>>>>>>> 1
中华人民共和国刑法（修正案八修正） >>>>>>>>>>> 1
最高人民法院最高人民检察院﹤关于办理盗窃形式案件适用法律若干问题的解释﹥ >>>>>>>>>>> 1
追诉标准（二） >>>>>>>>>>> 1
最高人民法院关于刑事附带民事范围的解释 >>>>>>>>>>> 1
罚没收财物和追回赃款赃物管理办法 >>>>>>>>>>> 1
江苏省涉案财产价格鉴证条例 >>>>>>>>>>> 1
最高人民法院关于适用<中华人民共和国婚姻法>若干问题的解释（一） >>>>>>>>>>> 1
关于审理破坏森林资源刑事案件有关盗伐、滥伐林木数量标准的规定 >>>>>>>>>>> 1
关于<刑法>第九十三条第二款的解释 >>>>>>>>>>> 1
最高人民法院最高人民检察院公安部国家安全部司法部关于办理刑事案件排除非法证据若干问题的规定 >>>>>>>>>>> 1
最高人民法院、最高人民检察院<关于办理药品安全刑事案件适用法律若干问题的解释> >>>>>>>>>>> 1
关于办理刑事案件适用法律若干的解释 >>>>>>>>>>> 1
刑事审判参考 >>>>>>>>>>> 1
公安派出所执法执勤工作规范 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部、国家烟草专卖局﹤关于办理假冒伪劣烟草制品等刑事案件适用法律问题座谈会纪要﹥ >>>>>>>>>>> 1
最高人民法院关于办理赌博案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
关于修订福建省森林失火案件数额标准和重申福建省故意坏林木案件数额标准的意见 >>>>>>>>>>> 1
最高人民法院关于适用﹤中华人民共和国刑事诉讼法﹥的理解 >>>>>>>>>>> 1
国务院安全生产许可证条例 >>>>>>>>>>> 1
供销合作社社有资产监督管理暂行办法 >>>>>>>>>>> 1
全国人民代表大会关于﹤中华人民共和国刑法﹥第九十二条第二款的解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部关于办理危险驾驶罪刑事案件适用法律若干问题的意见 >>>>>>>>>>> 1
最高人民法院、最高人民检察院〈关于办理诈骗罪刑事案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 1
关于处理自首和立功问题的意见 >>>>>>>>>>> 1
最高人民法院关于时间效力问题的解释 >>>>>>>>>>> 1
关于审理破坏野生资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院最高人民检察院﹤关于办理与盗窃、抢劫、抢夺机动车相关刑事案件具体应用法律若干问题的解释﹥ >>>>>>>>>>> 1
中华人民共和国民用爆炸物品安全管理条例 >>>>>>>>>>> 1
工作指南 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理受贿贿赂刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
全国人民代表大会常务委员会关于<中华人民共和国刑法>第九三条第二款的解释 >>>>>>>>>>> 1
全国人民代表大会常务委员会就在于<中华人民共和国刑法>第三十条的解释 >>>>>>>>>>> 1
本院认为，被告人刘某甲、刘某乙为发泄情绪，随意殴打他人，致周口市公路局路政管理处工作人员张某等3人轻微伤属情节恶劣；毁损周口市公路局路政管理处执法车辆，被毁损部件经鉴定价值7105元，属情节严重，其行为已构成寻衅滋事罪，周口市川汇区人民检察院指控事实和罪名成立，本院予以支持。被告人刘某甲已就民事部分与被害人及被害单位达成赔偿协议，并取得受害人的谅解，被害单位及被害人自愿撤回对上述二被告人的附带民事诉讼，故对二被告人可以从轻处罚。辩护人及指定辩护人的辩护意见，合理部分，本院予以采纳。为此，依照中华人民共和国刑法 >>>>>>>>>>> 1
最高人民法院、最高人民检察院，公安部、国家安全部﹤关于依法办理非法生产销售使用”伪基站”设备案件的意见﹥ >>>>>>>>>>> 1
辽宁省反窃电条例 >>>>>>>>>>> 1
中华人民共和国通则 >>>>>>>>>>> 1
关于办理与盗窃、抢劫、诈骗、抢夺相关刑事案件应用法律若干问题的解释 >>>>>>>>>>> 1
全国人大委员会关于﹤中华人民共和国刑法﹥第二百九十四条第一款的解释 >>>>>>>>>>> 1
最高人民法院关于审理人损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院关于适用﹤中华人民共和国刑是诉讼法﹥的解释 >>>>>>>>>>> 1
最高人民检察院关于拾得他人信用卡并在自动柜员机（ATM机）上使用的行为如何定性问题的批复 >>>>>>>>>>> 1
关于办理赌博形式案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
重庆市司法鉴定条例(2007) >>>>>>>>>>> 1
最高人民检察院法律政策研究室关于伪造、变造、买卖政府设立的临时性机构的公文、证件、印章行为如何适用法律问题的答复 >>>>>>>>>>> 1
金融机构管理规定 >>>>>>>>>>> 1
最高人民法院、最高人民检察院﹤关于办理刑事案件适用法律若干问题的解释﹥ >>>>>>>>>>> 1
保护性开采的特定矿种勘查开采管理暂行办法 >>>>>>>>>>> 1
民政部关于印发﹤福利企业资格认定办法﹥的通知 >>>>>>>>>>> 1
关于我省诈骗罪具体数额执行标准的通知 >>>>>>>>>>> 1
河北省交通事故责任认定规范﹤试行﹥ >>>>>>>>>>> 1
最高人民法院&lt；；关于审理组织、运送他人偷越国（边）境等刑事案件适用法律若干问题的解释&gt；； >>>>>>>>>>> 1
最高人民法院研究室关于服刑罪犯保外就医期限届满后未归监又重新犯罪应如何计算前罪余刑问题的答复 >>>>>>>>>>> 1
审理交通事故赔偿案件适用法律若干问题解释 >>>>>>>>>>> 1
湖南省实施<中华人民共和国道路交通安全法>办法 >>>>>>>>>>> 1
最高人民法院〈关于办理非法制造、买卖、运输、储存毒鼠强等禁用剧毒化学品刑事案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部关于盗窃罪数额认定标准问题的规定 >>>>>>>>>>> 1
最高人民法院﹤关于审理抢劫刑事案件具体应用法律若干问题的解释﹥ >>>>>>>>>>> 1
河北省公安机关调解处理轻伤害案件暂行办法 >>>>>>>>>>> 1
关于推进城市户籍管理制度改革的实施办法 >>>>>>>>>>> 1
河南省城镇国有土地使用权出让和转管理规定 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于审理诈骗罪若干问题的解释 >>>>>>>>>>> 1
全国人大常委会关于＜刑法＞第九十三条的解释 >>>>>>>>>>> 1
全国人民代表大会常委会关于第九十三条第二款的解释 >>>>>>>>>>> 1
关于办理利用开设赌场机开设赌场案件适用法律若干问题的意见 >>>>>>>>>>> 1
内蒙古自治区道路交通事故损害赔偿标准和计算方法 >>>>>>>>>>> 1
〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 1
关于办理侵犯指示产权刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
渔业法 >>>>>>>>>>> 1
关于适用﹤侵权责任法﹥若干问题的通知 >>>>>>>>>>> 1
深圳发展银行国内保理业务操作规程 >>>>>>>>>>> 1
关于井湖村撤制后村干离职待遇的请示 >>>>>>>>>>> 1
拍卖法 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理网络赌博刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院关于处理自首、立功应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院关于对索取法律不予保护的债务非法拘禁他人行为如何定罪问题的解释 >>>>>>>>>>> 1
最高人民法院<关于审理掩饰隐瞒满犯罪所得、犯罪所得收益刑事案件适用法律若干问题的解释> >>>>>>>>>>> 1
机动车交通事故责任强制保险合同 >>>>>>>>>>> 1
中华人民共和国共和国行政处罚法 >>>>>>>>>>> 1
全国人大常委会关于〈中华人民共和国刑法〉第三百八十四条第一款的解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理内幕交易、泄露内幕信息刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院最高人民检察院关于办理渎职案件适用法律若干规定问题的解释（一） >>>>>>>>>>> 1
土石方工程承包合同 >>>>>>>>>>> 1
全国人民大表大会常务委员会关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 1
贵州省高级人民法院，贵州省人民检察院关于对我省盗窃犯罪数额认定标准的规定﹥ >>>>>>>>>>> 1
云南省高级人民法院﹤关于审理破坏森林资源刑事案件有关盗伐、滥伐林木“数量”标准的规定﹥ >>>>>>>>>>> 1
最××见 >>>>>>>>>>> 1
关于办理诈骗犯罪刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于审理走私刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院关于贯彻执行&lt；中华人民共和国民法通则若干问题的意见（试行）&gt； >>>>>>>>>>> 1
本院认为，被告人雷文华违反道路交通安全法规，驾驶机动车辆超速行驶，且采取措施不当，发生重大交通事故，造成被害人鲁某甲死亡的严重后果，其行为侵犯了道路交通运输安全，因被告人雷文华负事故的主要责任，根据最高人民法院关于审理（交通事故刑事案件具体应用法律）若干问题的解释 >>>>>>>>>>> 1
道路交通安全条例 >>>>>>>>>>> 1
最高人民法院关于适用<全国人民代表大会关于禁毒的决定>若干问题解释 >>>>>>>>>>> 1
泰州市征地房屋拆迁补偿安置管理办法 >>>>>>>>>>> 1
安徽省实施＜中华人民共和国道路交通安全法＞办法 >>>>>>>>>>> 1
中华人民矿产资源法 >>>>>>>>>>> 1
本院认为，公诉机关指控被告人刘水清犯故意伤害罪事实清楚，证据充分，对被告人刘水清没有伤害四位原告人的辩解意见不予采纳。被告人除依法承担刑事责任外，还应当赔偿因犯罪行为造成附带民事诉讼原告人的物质损失。依照最高人民法院关于适用﹤中华人民共和国刑事诉讼法﹥若干问题的解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部关于办理醉驾刑事案件适用法律若干问题的意见 >>>>>>>>>>> 1
中华人民共和国商标法 >>>>>>>>>>> 1
全国人民代表大会常务委员会关于严惩拐卖、绑架妇女、儿童犯罪分子的决定 >>>>>>>>>>> 1
关于办理盗窃行事案件适用法律若干问题的解释 >>>>>>>>>>> 1
河北省2015年度道路交通事故人身损害赔偿标准 >>>>>>>>>>> 1
委托代征管理办法 >>>>>>>>>>> 1
最高人民法院关于适用<中华人民共和国保险法>若干问题的解释(二) >>>>>>>>>>> 1
道路交通事故处理程序的规定 >>>>>>>>>>> 1
云南省高级人民法院＜关于审理破坏森林资源刑事案件有关盗伐、滥伐林木“数量”标准的规定＞ >>>>>>>>>>> 1
最高人民检察院、最高人民法院、司法部<关于适用普通程序审理”认罪案件”的若干意见（试行）> >>>>>>>>>>> 1
贵州省高级人民法院、贵州省人民检察院关于对贵州省盗窃犯罪数额认定标准的规定 >>>>>>>>>>> 1
关于加强涉嫌拒不支付劳动报酬犯罪案件查处衔接工作的通知 >>>>>>>>>>> 1
关于人民法院量刑指导意见实行 >>>>>>>>>>> 1
最高人民法院关于审理非法制造、买卖、运输枪支、弹药、暴炸物等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
中华人民共和国安全生法 >>>>>>>>>>> 1
关于刑事附带民诉讼范围问题的规定 >>>>>>>>>>> 1
标准二 >>>>>>>>>>> 1
关于执行＜全国人民代表大会常务委员会关于严禁卖淫嫖娼的决定＞的若干问题的解答 >>>>>>>>>>> 1
最高人民法院关于审理毒品犯罪定罪量刑标准有关问题的解释 >>>>>>>>>>> 1
最高人民法院关于毒品犯罪定罪量刑标准有关问题的解释 >>>>>>>>>>> 1
最高人民法院关于适用<中华人民共和国刑法>解释 >>>>>>>>>>> 1
江西省高级人民法院江西省人民检察院关于办理抢夺刑事案件执行具体数额标准的规定 >>>>>>>>>>> 1
关于审理不正当竞争民事案件应用法律若干问题的解释 >>>>>>>>>>> 1
中华人民共和国公司法 >>>>>>>>>>> 1
关于刑事裁判涉财部分执行的若干规定 >>>>>>>>>>> 1
最高人民法院交通事故案件具体应用法律问题的解释 >>>>>>>>>>> 1
机动车第三者责任险条款 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部关于办理醉驾驶机动车刑事案件适用法律若干问题的意见 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理刑事案件若干问题的解释 >>>>>>>>>>> 1
最高人民法院最高人民检察院关于办理寻衅滋事刑事案件适用法律若干问题的解释第二条第（一）项 >>>>>>>>>>> 1
山东省木材运输证管理办法 >>>>>>>>>>> 1
会议纪要 >>>>>>>>>>> 1
关于﹤中华人民共和国刑法﹥第二百九十四条第一款的解释 >>>>>>>>>>> 1
河南省工伤职工辅助器具配置管理暂行办法 >>>>>>>>>>> 1
关于办理侵犯知识产权刑事案件具体应周法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院﹤关于附带民事诉讼范围的规定﹥ >>>>>>>>>>> 1
关于对城市新建民用建筑违反国家有关规定应建而未建防空地下室有关问题的批复 >>>>>>>>>>> 1
最高人民法院关于适用<中华人民共和国刑法诉讼法>的解释 >>>>>>>>>>> 1
最高人民法院刑事附带民事若干问题解释 >>>>>>>>>>> 1
建筑起重机械备案登记办法 >>>>>>>>>>> 1
公安部印章管理办法 >>>>>>>>>>> 1
浙江省高级人民法院、浙江省人民检察院关于严格依法认定自首的通知 >>>>>>>>>>> 1
财政部、农业部农村沼气项目建设资金管理办法 >>>>>>>>>>> 1
中华人民共和国民法通同 >>>>>>>>>>> 1
全国人大常委会关于（中华人民共和国刑法）第九十三条第二款的解释 >>>>>>>>>>> 1
最高人民法院关于处理和自首具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院关于审理组织、运送他人偷越国（边）等刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
关于执行全国人民代表大会常务委员会﹤关于禁毒的决定﹥若干问题的解释 >>>>>>>>>>> 1
价格认证书 >>>>>>>>>>> 1
广西壮族自治区高级人民法院、广西壮族自治区人民检察院、广西壮族自治区公安厅﹤桂公通（2004）15号﹥关于办理森林火灾刑事案件的意见 >>>>>>>>>>> 1
关于〈中华人民共和国刑法〉第二百九十四条第一款的解释 >>>>>>>>>>> 1
郧西县人民政府关于印发县城规划区村民建房管理暂行办法的通知 >>>>>>>>>>> 1
全国人民代表大会常委委员会关于〈中华人民共和国刑法〉第三十条的解释 >>>>>>>>>>> 1
最高人民法院关于审理破坏林地刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
本院认为，被告人王某某伙同他人以暴力阻碍国家机关工作人员执行公务，其行为触犯了中华人民共和国刑法 >>>>>>>>>>> 1
最高人民法院关于执行﹤中华人民共和国诉讼法﹥若干问题的解释 >>>>>>>>>>> 1
关于审理抢劫抢夺刑事案件适用法律若干问题的意见 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部、外交部关于敦促在逃境外经济犯罪人员投案自首的通告 >>>>>>>>>>> 1
人民检察院直接受理立案侦查案件立案标准的规定（试行） >>>>>>>>>>> 1
中华人民共和国治安处罚法 >>>>>>>>>>> 1
关于审理抢劫、抢夺适用法律若干问题的意见 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理妨害文物管理等刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
中华人民共和国民法通册 >>>>>>>>>>> 1
广东省高级人民法院关于刑事案件赃款赃物适用法律问题的若干指导意见 >>>>>>>>>>> 1
二手车流通管理办法 >>>>>>>>>>> 1
四川省高级人民法院、四川高级人民检察院﹤关于适用简易程序审理刑事案件的实施意见（试行）﹥ >>>>>>>>>>> 1
全国人民代表大会常务委员会关于﹤中华人民共和国刑事﹥第九十三条第二款的解释 >>>>>>>>>>> 1
关于审理人民损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 1
出租车加入公司服务合同 >>>>>>>>>>> 1
机动车车上人员责任保险条款 >>>>>>>>>>> 1
关于〈中华人民共和国刑法〉第九十三条第二款解释 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理侵犯适应产权刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
湖北省实施〈中华人民共和国野生动物保护法〉办法 >>>>>>>>>>> 1
湖南省涉案物价格鉴定管理条例 >>>>>>>>>>> 1
关于对为索取不予保护的债务非法拘禁他人行为如何定罪问题的解释 >>>>>>>>>>> 1
关于严格依法办理利用网络实施诽谤等违法犯罪案件的意见 >>>>>>>>>>> 1
福建省农村沼气建设项目和资金管理办法 >>>>>>>>>>> 1
最高人民法院关于＜中华人民共和国刑法修正案（九）＞时间效力问题的解释 >>>>>>>>>>> 1
全国人大代表大会常务委员会关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 1
全国人大常委会关于第九十三条第二款的解释 >>>>>>>>>>> 1
城镇国有土地使用权出让转让暂行条例 >>>>>>>>>>> 1
全国代表大会常务委员会关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 1
云南省高级人民法院关于审理破坏森林资源刑事案件有关盗伐、滥伐林木“数量”标准的规定 >>>>>>>>>>> 1
最高人民法院最高人民检察院﹤关于办理窃刑事案件适用法律若干问题的解释﹥ >>>>>>>>>>> 1
最高人民法院研究室关于对保险法第十七条规定的“明确说明”应如何理解的问题的答复 >>>>>>>>>>> 1
关于贯彻执行<中华人民共和国民法通则>若干问题的意见(试行) >>>>>>>>>>> 1
关于办理妨害信用管理刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
关于办理药品安全刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
河北省城乡规划条例 >>>>>>>>>>> 1
关于的解释 >>>>>>>>>>> 1
人民法院司法警察条例 >>>>>>>>>>> 1
四川省高级人民法院、四川高级人民检察院<关于适用简易程序审理刑事案件的实施意见（试行）> >>>>>>>>>>> 1
最高人民法院关于办理非法生产、销售、使用禁止在饲料和动物饮用水中使用的药品等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院最高人民检察院关于办理贪贿刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院关于办理共同盗窃犯罪案件如何适用法律问题的意见 >>>>>>>>>>> 1
山西省煤炭可持续发展基金安排使用管理实施细则（试行） >>>>>>>>>>> 1
最高人民法院关于执行＜中华人民共和国刑事诉讼法＞若干问题的规定 >>>>>>>>>>> 1
本院认为，被告人李某某违反交通管理法规，醉酒（94.93mg/100ml）在道路上驾驶机动车，其行为已触犯巛中华人民共和国刑法 >>>>>>>>>>> 1
行政诉讼法 >>>>>>>>>>> 1
全国人民代表大会常务委会关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 1
中华人民共和国土地法 >>>>>>>>>>> 1
全国人民代表大会常务委员关于&lt；；中华人民共和国刑法&gt；；第九十三条第二款的解释 >>>>>>>>>>> 1
全国人民代表大会常务委员会<关于中华人民共和国刑法>第三百八十四条第一款的解释 >>>>>>>>>>> 1
关于使用简易程序审理公诉案件的若干意见 >>>>>>>>>>> 1
最高人民法院关于适用&lt；；中华人民共和国侵权责任法&gt；；若干问题的通知 >>>>>>>>>>> 1
关于办理赌博机开设赌场案件适用法律若干问题的意见 >>>>>>>>>>> 1
最高人民法院最高人民检察院关于在办理受贿犯罪大要案的同时要严肃查处严重行贿犯罪分子的通知 >>>>>>>>>>> 1
中华人民共和国石油天然气管道保护法 >>>>>>>>>>> 1
广西壮族自治区高级人民法院、广西壮族自治区人民检察院、广西壮族自治区公安厅&lt；桂公通（2004）15号&gt；关于办理森林火灾刑事案件的意见 >>>>>>>>>>> 1
山东省实施＜中华人民共和国道路交通安全法＞办法 >>>>>>>>>>> 1
关于调整周原遗址等部分全国重点文物保护单位保护范围和建设控制地带的通知 >>>>>>>>>>> 1
关于依法平等保护非公有制经济，促进非公有制经济健康发展的意见 >>>>>>>>>>> 1
中国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第三百一十三条的解释 >>>>>>>>>>> 1
澄江县家电下乡销售网点代理审核并垫付补贴资金协议书 >>>>>>>>>>> 1
富德财产保险股份有限公司机动车商业保险条款 >>>>>>>>>>> 1
最高人民法院、最高人民检察 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于赌博刑事案件具体应用法律若问题的解释 >>>>>>>>>>> 1
河南省交通行政执法人员行为规范 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理组织和利用邪教犯罪案件具体应用法律若干问题的解释（二） >>>>>>>>>>> 1
全国人大常委会〈关于中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 1
国务院关于将钨、锡、锑、离子型稀土矿产列为国家实行保护性开采特定矿种的通知 >>>>>>>>>>> 1
关于审理非法制造、买卖、运输枪支、弹药、暴炸物等刑事案件具体应用法律若干问题胡解释 >>>>>>>>>>> 1
最高人民法院关于审理森林资源刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
最高人民法院检察关于办理刑事案件适用若干问题的解释 >>>>>>>>>>> 1
全国人大常务委员会关于﹤中华人民共和国刑法﹥第九十三条二款的解释 >>>>>>>>>>> 1
浙江省高级人民法院关于部分罪名定罪量刑情节及数额标准的意见 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理非法持有枪支刑事案件适用法律若干问题的解释 >>>>>>>>>>> 1
司法鉴定职业分类规定（试行） >>>>>>>>>>> 1
道路交通事故受伤人员伤残评定标准 >>>>>>>>>>> 1
全国人民代表大会常委会关于严惩拐卖、绑架妇女、儿童的犯罪分子的决定 >>>>>>>>>>> 1
关于办理生产销售伪劣商品刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
野生动物保护法 >>>>>>>>>>> 1
日元贷款河北省唐山市供水工程实施管理办法 >>>>>>>>>>> 1
关于办理非法生产、销售、使用禁止在饲料和动物饮水中使用的药品等刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 1
关于(中华人民共和国刑法)第九章渎职罪主体适用问题的解释 >>>>>>>>>>> 1
中华人民共和国农药管理条例 >>>>>>>>>>> 1
最高人民法院关于适用<中华人民共和国刑诉法>的解释 >>>>>>>>>>> 1
湖北省高级人民法院、湖北省人民检察院〈关于确定我省盗窃罪数额认定标准的通知〉 >>>>>>>>>>> 1
林权证 >>>>>>>>>>> 1
××司法鉴定管理办法 >>>>>>>>>>> 1
依法办理非法生产销售使用“伪基站”设备案件的意见 >>>>>>>>>>> 1
种子质量纠纷 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、司法部关于适用普通程序审理“被告人认罪”的若干意见（试行） >>>>>>>>>>> 1
最高人民法院关于适用﹤中华人民共和国保险法﹥的若干问题的解释（二） >>>>>>>>>>> 1
最高人民法院关于审理经济纠纷案件中涉及经济犯罪嫌疑若干问题的规定 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部、国家安全部、司法部关于办理死刑案件审查判断证据若干问题的规定 >>>>>>>>>>> 1
郑州市某某有限公司部分房地产估价结果报告 >>>>>>>>>>> 1
全国人民代表大会常务委员会〈关于严惩严重危害社会治安的犯罪分子〉的决定 >>>>>>>>>>> 1
关于渎职侵权犯罪立案标准的规定 >>>>>>>>>>> 1
最高人民法院﹤关于审理刑事案件具体应用法律若干问题的解释﹥ >>>>>>>>>>> 1
关于<中华人民共和国刑法修正案(八)>时间效力问题的解释 >>>>>>>>>>> 1
粮油仓储管理办法 >>>>>>>>>>> 1
江西省高级人民法院、江西省人民检察院、江西省公安厅〈关于办理破坏森林资源刑事案件若干问题的规定〉 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、公安部农业部、国家食品药品监督管理总局关于进一步加强麻黄草管理严厉打击非法买卖麻黄草等违法犯罪活动的通知 >>>>>>>>>>> 1
山东省高级人民法院关于印发全省民事审判工作座谈会纪要的通知 >>>>>>>>>>> 1
最高人民法院、最高人民检察院关于办理组织和利用邪教犯罪案件具体应用法律若干问题的解释（一） >>>>>>>>>>> 1
中华人民共和国电力供应与使用条例 >>>>>>>>>>> 1
最高人民法院、最高人民检察院、司法部关于适用简易程序审理“公诉案件的”若干意见 >>>>>>>>>>> 1
交强险条款 >>>>>>>>>>> 1
中华人民共和国种畜禽管理条例 >>>>>>>>>>> 1
最高人民法院关于<中华人民共和国刑法修正案（八）>时间效力问题的解释 >>>>>>>>>>> 1
关于惩治性侵害未成年人犯罪的意见 >>>>>>>>>>> 1
关于﹤中华人民共和国刑法﹥第九十三条第二款的解释（2009年修正） >>>>>>>>>>> 1
最高人民法院〈关于审理走私刑事案件具体应用法律若干问题的解释〉 >>>>>>>>>>> 1
最高人民法院关于保险法司法解释二 >>>>>>>>>>> 1
工资支付暂行条例 >>>>>>>>>>> 1
最高人民法院关于适用﹤中华人民共和国刑法﹥解释 >>>>>>>>>>> 1
湖南省农村中小学公用经费支出管理实施细则（试行） >>>>>>>>>>> 1
广东省高级人民法院关于刑事附带民事诉讼案件若干问题的指导意见 >>>>>>>>>>> 1
借款合同 >>>>>>>>>>> 1
本院认为，被告人孟呼伦无视国家法律，“法轮功”组织被国家民政部确定为非法组织，取缔后，仍习练，以“护法”为目的，在受到法律处罚后，又传播邪教“法轮功”宣传品、宣扬邪教，破坏法律、行政法规实施，符合最高人民法院、最高人民检察院关于办理组织和利用邪教组织犯罪案件具体应用法律若干问题的解释（二） >>>>>>>>>>> 1
最高人民法院关于审理交通道路事故损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 1
公安机关刑事案件现场勘验检查规则 >>>>>>>>>>> 1
最高人民检察院公安部 >>>>>>>>>>> 1
产品质量法 >>>>>>>>>>> 1
关于确定盗伐林木罪、滥伐林木罪数额认定标准的通知 >>>>>>>>>>> 1
全国人民代表大会关于〈中华人民共和国刑法〉第三百一十三条的解释 >>>>>>>>>>> 1
中华人民共和国道路保险法 >>>>>>>>>>> 1
最高人民法院、最高人民检察员关于办理行贿案件具体应用法律若干问题 >>>>>>>>>>> 1
